Date,Description,Original Description,Amount,Cumulative,Transaction Type,Category,Account Name
12/22/2020,Taco Bell,TACO BELL 735099 3096891886 IL,6.74,1248.08,debit,Fast Food,Citi® Double Cash Card
12/15/2020,Taco Bell,TACO BELL 735099 3096891886 IL,5.88,1241.34,debit,Fast Food,Citi® Double Cash Card
12/10/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1235.46,debit,Fast Food,Citi® Double Cash Card
12/3/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1226.59,debit,Fast Food,Citi® Double Cash Card
11/24/2020,Taco Bell,TACO BELL 735099 3096891886 IL,12.19,1217.72,debit,Fast Food,Citi® Double Cash Card
11/17/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.76,1205.53,debit,Fast Food,Citi® Double Cash Card
11/11/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1194.77,debit,Fast Food,Citi® Double Cash Card
11/7/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.28,1185.9,debit,Fast Food,Citi® Double Cash Card
10/27/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.07,1175.62,debit,Fast Food,Citi® Double Cash Card
10/22/2020,Taco Bell,TACO BELL 735099 3096891886 IL,2.54,1165.55,debit,Fast Food,Citi® Double Cash Card
10/20/2020,Taco Bell,TACO BELL 735099 3096891886 IL,7.29,1163.01,debit,Fast Food,Citi® Double Cash Card
10/13/2020,Taco Bell,TACO BELL 735099 3096891886 IL,7.64,1155.72,debit,Fast Food,Citi® Double Cash Card
10/6/2020,Taco Bell,TACO BELL 735099 3096891886 IL,11.28,1148.08,debit,Fast Food,Citi® Double Cash Card
9/29/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.87,1136.8,debit,Fast Food,Citi® Double Cash Card
9/26/2020,Taco Bell,TACO BELL 735099 3096891886 IL,23.18,1127.93,debit,Fast Food,Citi® Double Cash Card
9/22/2020,Taco Bell,TACO BELL 735099 3096891886 IL,13.19,1104.75,debit,Fast Food,Citi® Double Cash Card
9/14/2020,Taco Bell,TACO BELL 703799 3096891886 IL,8.08,1091.56,debit,Fast Food,Citi® Double Cash Card
9/10/2020,Taco Bell,TACO BELL 735099 3096891886 IL,12.08,1083.48,debit,Fast Food,Citi® Double Cash Card
8/25/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.97,1071.4,debit,Fast Food,Citi® Double Cash Card
8/18/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.57,1060.43,debit,Fast Food,Citi® Double Cash Card
8/4/2020,Taco Bell,TACO BELL 735099 3096891886 IL,12.51,1051.86,debit,Fast Food,Citi® Double Cash Card
7/28/2020,Taco Bell,TACO BELL 735099 3096891886 IL,12.51,1039.35,debit,Fast Food,Citi® Double Cash Card
7/22/2020,Taco Bell,TACO BELL 735099 3096891886 IL,13.2,1026.84,debit,Fast Food,Citi® Double Cash Card
7/14/2020,Taco Bell,TACO BELL 735099 3096891886 IL,11.4,1013.64,debit,Fast Food,Citi® Double Cash Card
7/1/2020,Taco Bell,TACO BELL 735099 3096891886 IL,4.32,1002.24,debit,Fast Food,Citi® Double Cash Card
6/24/2020,Taco Bell,TACO BELL 735099 3096891886 IL,9.87,997.92,debit,Fast Food,Citi® Double Cash Card
6/16/2020,Taco Bell,TACO BELL 735099 3096891886 IL,13.19,988.05,debit,Fast Food,Citi® Double Cash Card
6/10/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.98,974.86,debit,Fast Food,Citi® Double Cash Card
6/3/2020,Taco Bell,TACO BELL 735099 3096891886 IL,14.3,963.88,debit,Fast Food,Citi® Double Cash Card
5/30/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.98,949.58,debit,Fast Food,Citi® Double Cash Card
5/27/2020,Taco Bell,TACO BELL 735099 3096891886 IL,10.98,938.6,debit,Fast Food,Citi® Double Cash Card
5/24/2020,Taco Bell,TACO BELL 735099 3096891886 IL,7.64,927.62,debit,Fast Food,Citi® Double Cash Card
5/23/2020,Taco Bell,DOORDASH*TACO BELL 6506819470 CA,22.29,919.98,debit,Fast Food,Citi® Double Cash Card
5/13/2020,Taco Bell,TACO BELL 735099 3096891886 IL,11.41,897.69,debit,Fast Food,Citi® Double Cash Card
5/6/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.88,886.28,debit,Fast Food,Citi® Double Cash Card
4/29/2020,Taco Bell,TACO BELL 704066 3096891886 IL,8.88,877.4,debit,Fast Food,Citi® Double Cash Card
4/21/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.18,868.52,debit,Fast Food,Citi® Double Cash Card
4/8/2020,Taco Bell,TACO BELL 735099 3096891886 IL,12.41,860.34,debit,Fast Food,Citi® Double Cash Card
3/25/2020,Taco Bell,TACO BELL 735099 3096891886 IL,13.73,847.93,debit,Fast Food,Citi® Double Cash Card
3/17/2020,Taco Bell,TACO BELL 735099 3096891886 IL,11.52,834.2,debit,Fast Food,Citi® Double Cash Card
3/14/2020,Taco Bell,TACO BELL 735099 3096891886 IL,8.51,822.68,debit,Fast Food,Citi® Double Cash Card
3/4/2020,Taco Bell,TACO BELL 035099 PEORIA IL,13.18,814.17,debit,Fast Food,Citi® Double Cash Card
2/12/2020,Taco Bell,TACO BELL 735099 3096891886 IL,11.85,800.99,debit,Fast Food,Citi® Double Cash Card
2/8/2020,Taco Bell,TACO BELL 735099 3096891886 IL,33.67,789.14,debit,Fast Food,Citi® Double Cash Card
1/29/2020,Taco Bell,TACO BELL 035099 PEORIA IL,12.28,755.47,debit,Fast Food,Citi® Double Cash Card
1/20/2020,Taco Bell,TACO BELL 735099 3096891886 IL,20.96,743.19,debit,Fast Food,Citi® Double Cash Card
1/14/2020,Taco Bell,TACO BELL 035099 PEORIA IL,10.41,722.23,debit,Fast Food,Citi® Double Cash Card
1/10/2020,Taco Bell,TACO BELL #003799 PEORIA IL,10.41,711.82,debit,Fast Food,Citi® Double Cash Card
12/18/2019,Taco Bell,TACO BELL 035099 PEORIA IL,10.41,701.41,debit,Fast Food,Citi® Double Cash Card
12/16/2019,Taco Bell,TACO BELL #021328 PEORIA IL,4.86,691,debit,Fast Food,Citi® Double Cash Card
12/11/2019,Taco Bell,TACO BELL 735099 3096891886 IL,12.84,686.14,debit,Fast Food,Citi® Double Cash Card
12/11/2019,Taco Bell,TACO BELL 8777584734 CA,30,673.3,debit,Fast Food,Citi® Double Cash Card
11/20/2019,Taco Bell,TACO BELL 035099 PEORIA IL,9.97,643.3,debit,Fast Food,Citi® Double Cash Card
10/24/2019,Taco Bell,TACO BELL 035099 PEORIA IL,5.53,633.33,debit,Fast Food,Citi® Double Cash Card
10/4/2019,Taco Bell,TACO BELL #004066 PEORIA IL,11.73,627.8,debit,Fast Food,Citi® Double Cash Card
9/14/2019,Taco Bell,TACO BELL #003799 PEORIA IL,5.29,616.07,debit,Fast Food,Citi® Double Cash Card
9/7/2019,Taco Bell,TACO BELL 735099 3096891886 IL,12.43,610.78,debit,Fast Food,Citi® Double Cash Card
8/28/2019,Taco Bell,TACO BELL 035099 PEORIA IL,5.55,598.35,debit,Fast Food,Citi® Double Cash Card
8/28/2019,Taco Bell,TACO BELL 035099 PEORIA IL,3.33,592.8,debit,Fast Food,Citi® Double Cash Card
8/17/2019,Taco Bell,TACO BELL #004066 PEORIA IL,17.75,589.47,debit,Fast Food,Citi® Double Cash Card
8/14/2019,Taco Bell,TACO BELL #004066 PEORIA IL,8.88,571.72,debit,Fast Food,Citi® Double Cash Card
7/20/2019,Taco Bell,TACO BELL #34354 MADISON WI,15.27,562.84,debit,Fast Food,Citi® Double Cash Card
5/29/2019,Taco Bell,TACO BELL #004066 PEORIA IL,9.97,547.57,debit,Fast Food,Citi® Double Cash Card
4/6/2019,Taco Bell,TACO BELL #031277 WASHINGTON IL,3.26,537.6,debit,Fast Food,Citi® Double Cash Card
4/3/2019,Taco Bell,TACO BELL #003799 PEORIA IL,10.86,534.34,debit,Fast Food,Citi® Double Cash Card
2/27/2019,Taco Bell,TACO BELL #003799 PEORIA IL,8.88,523.48,debit,Fast Food,Citi® Double Cash Card
2/20/2019,Taco Bell,TACO BELL #003799 PEORIA IL,8.88,514.6,debit,Fast Food,Citi® Double Cash Card
1/9/2019,Taco Bell,TACO BELL #003799 PEORIA IL,9.31,505.72,debit,Fast Food,Citi® Double Cash Card
12/31/2018,Taco Bell,TACO BELL #004066 PEORIA IL,13.31,496.41,debit,Fast Food,Citi® Double Cash Card
11/24/2018,Taco Bell,TACO BELL #031505 QPS MANITOWOC WI,2.1,483.1,debit,Fast Food,Citi® Double Cash Card
11/16/2018,Taco Bell,TACO BELL #004066 PEORIA IL,3.33,481,debit,Fast Food,Citi® Double Cash Card
10/25/2018,Taco Bell,TACO BELL #004066 PEORIA IL,3.33,477.67,debit,Fast Food,Citi® Double Cash Card
10/10/2018,Taco Bell,TACO BELL #004066 PEORIA IL,5.32,474.34,debit,Fast Food,Citi® Double Cash Card
8/25/2018,Taco Bell,TACO BELL #003799 PEORIA IL,8.86,469.02,debit,Fast Food,Citi® Double Cash Card
8/20/2018,Taco Bell,TACO BELL #021328 PEORIA IL,11.84,460.16,debit,Fast Food,Citi® Double Cash Card
7/28/2018,Taco Bell,TACO BELL #003799 PEORIA IL,26.01,448.32,debit,Fast Food,Citi® Double Cash Card
7/23/2018,Taco Bell,TACO BELL #004066 PEORIA IL,8.2,422.31,debit,Fast Food,Citi® Double Cash Card
7/7/2018,Taco Bell,TACO BELL #031277 WASHINGTON IL,12.14,414.11,debit,Fast Food,Citi® Double Cash Card
6/27/2018,Taco Bell,TACO BELL #004066 PEORIA IL,7.29,401.97,debit,Fast Food,Citi® Double Cash Card
6/19/2018,Taco Bell,TACO BELL #27903 MINOOKA IL,13.57,394.68,debit,Fast Food,Citi® Double Cash Card
5/4/2018,Taco Bell,TACO BELL #004066 PEORIA IL,4.87,381.11,debit,Fast Food,Citi® Double Cash Card
3/3/2018,Taco Bell,TACO BELL #031277 WASHINGTON IL,10.34,376.24,debit,Fast Food,Citi® Double Cash Card
2/23/2018,Taco Bell,TACO BELL #004066 PEORIA IL,10.2,365.9,debit,Fast Food,Citi® Double Cash Card
1/31/2018,Taco Bell,TACO BELL #004066 PEORIA IL,10.63,355.7,debit,Fast Food,Citi® Double Cash Card
1/5/2018,Taco Bell,TACO BELL #023404 EAST PEORIA IL,10.35,345.07,debit,Fast Food,Citi® Double Cash Card
11/22/2017,Taco Bell,TACO BELL #003799 PEORIA IL,5.97,334.72,debit,Fast Food,Citi Forward Card
11/3/2017,Taco Bell,TACO BELL #004066 PEORIA IL,4.87,328.75,debit,Fast Food,Citi® Double Cash Card
10/17/2017,Taco Bell,TACO BELL #021328 PEORIA IL,4.87,323.88,debit,Fast Food,Citi® Double Cash Card
10/1/2017,Taco Bell,TACO BELL #021328 PEORIA IL,4.65,319.01,debit,Fast Food,Citi® Double Cash Card
9/16/2017,Taco Bell,TACO BELL #003799 PEORIA IL,11.09,314.36,debit,Fast Food,Citi® Double Cash Card
9/10/2017,Taco Bell,TACO BELL #004066 PEORIA IL,8.65,303.27,debit,Fast Food,Citi® Double Cash Card
8/21/2017,Taco Bell,TACO BELL #004066 PEORIA IL,9.42,294.62,debit,Fast Food,Citi® Double Cash Card
8/21/2017,Taco Bell,TACO BELL #021328 PEORIA IL,5.55,285.2,debit,Fast Food,Citi® Double Cash Card
8/18/2017,Taco Bell,TACO BELL #021328 PEORIA IL,3.76,279.65,debit,Fast Food,Citi® Double Cash Card
8/15/2017,Taco Bell,TACO BELL #004066 PEORIA IL,10.42,275.89,debit,Fast Food,Citi® Double Cash Card
8/11/2017,Taco Bell,TACO BELL #004066 PEORIA IL,3.33,265.47,debit,Fast Food,Citi® Double Cash Card
8/4/2017,Taco Bell,TACO BELL #003799 PEORIA IL,6.18,262.14,debit,Fast Food,Citi® Double Cash Card
7/31/2017,Taco Bell,TACO BELL #004066 PEORIA IL,3.76,255.96,debit,Fast Food,Citi® Double Cash Card
6/13/2017,Taco Bell,TACO BELL #004066 PEORIA IL,10.77,252.2,debit,Fast Food,Citi® Double Cash Card
5/26/2017,Taco Bell,TACO BELL #003799 PEORIA IL,6.83,241.43,debit,Fast Food,Citi® Double Cash Card
5/19/2017,Taco Bell,TACO BELL #003799 PEORIA IL,6.38,234.6,debit,Fast Food,Citi® Double Cash Card
5/13/2017,Taco Bell,TACO BELL #021328 PEORIA IL,8.84,228.22,debit,Fast Food,Citi® Double Cash Card
3/31/2017,Taco Bell,TACO BELL #021328 PEORIA IL,3.32,219.38,debit,Fast Food,Citi® Double Cash Card
3/12/2017,Taco Bell,TACO BELL #021328 PEORIA IL,4.74,216.06,debit,Fast Food,Citi® Double Cash Card
2/10/2017,Taco Bell,TACO BELL #021328 PEORIA IL,6.61,211.32,debit,Fast Food,Citi® Double Cash Card
1/14/2017,Taco Bell,TACO BELL #021328 PEORIA IL,11.36,204.71,debit,Fast Food,Citi® Double Cash Card
12/10/2016,Taco Bell,TACO BELL #004066 PEORIA IL,17.12,193.35,debit,Fast Food,Citi® Double Cash Card
11/11/2016,Taco Bell,TACO BELL #021328 PEORIA IL,7.26,176.23,debit,Fast Food,Citi® Double Cash Card
10/30/2016,Taco Bell,TACO BELL #004066 PEORIA IL,10.8,168.97,debit,Fast Food,Citi® Double Cash Card
10/15/2016,Taco Bell,TACO BELL #004066 PEORIA IL,7.26,158.17,debit,Fast Food,Citi® Double Cash Card
10/1/2016,Taco Bell,TACO BELL #021328 PEORIA IL,7.26,150.91,debit,Fast Food,Citi® Double Cash Card
9/18/2016,Taco Bell,TACO BELL #021328 PEORIA IL,5.18,143.65,debit,Fast Food,Citi® Double Cash Card
9/5/2016,Taco Bell,TACO BELL #004066 PEORIA IL,4.08,138.47,debit,Fast Food,Citi® Double Cash Card
8/28/2016,Taco Bell,TACO BELL #003799 PEORIA IL,4.84,134.39,debit,Fast Food,Citi® Double Cash Card
8/11/2016,Taco Bell,TACO BELL #004066 PEORIA IL,3.53,129.55,debit,Fast Food,Citi® Double Cash Card
7/25/2016,Taco Bell,TACO BELL #021328 PEORIA IL,2.21,126.02,debit,Fast Food,Citi® Double Cash Card
7/10/2016,Taco Bell,TACO BELL #004066 PEORIA IL,4.08,123.81,debit,Fast Food,Citi® Double Cash Card
6/25/2016,Taco Bell,TACO BELL #004066 PEORIA IL,7.45,119.73,debit,Fast Food,Citi Forward Card
6/23/2016,Taco Bell,TACO BELL #004066 PEORIA IL,0.9,112.28,debit,Fast Food,Citi® Double Cash Card
5/18/2016,Taco Bell,TACO BELL #004066 PEORIA IL,3.31,111.38,debit,Fast Food,Citi Forward Card
4/10/2016,Taco Bell,TACO BELL #003799 PEORIA IL,5.93,108.07,debit,Fast Food,Citi Forward Card
3/14/2016,Taco Bell,DEBIT CARD PURCHASE XXXXX7655 TACO BELL #004066 PEORIA IL,8.7,102.14,debit,Fast Food,Interest Checking
1/25/2016,Taco Bell,TACO BELL #004066 PEORIA IL\n,18.73,93.44,debit,Fast Food,Citi Forward Card
12/30/2015,Taco Bell,TACO BELL #004066 PEORIA IL,7.72,74.71,debit,Fast Food,Citi Forward Card
12/17/2015,Taco Bell,TACO BELL #004066 PEORIA IL,19.05,66.99,debit,Fast Food,Citi Forward Card
10/30/2015,Taco Bell,TACO BELL #004066 PEORIA IL,3.31,47.94,debit,Fast Food,Citi Forward Card
10/22/2015,Taco Bell,TACO BELL #004066 PEORIA IL,3.31,44.63,debit,Fast Food,Citi Forward Card
10/12/2015,Taco Bell,TACO BELL #27899 OGLESBY IL,3.21,41.32,debit,Fast Food,Citi Forward Card
8/27/2015,Taco Bell,TACO BELL #26745 JOLIET IL,4.82,38.11,debit,Fast Food,Citi Forward Card
8/17/2015,Taco Bell,TACO BELL #004066 PEORIA IL,3.52,33.29,debit,Fast Food,Citi Forward Card
8/7/2015,Taco Bell,TACO BELL #004066 PEORIA IL,14.32,29.77,debit,Fast Food,Citi Forward Card
6/2/2015,Taco Bell,TACO BELL #004066 PEORIA IL,2.21,15.45,debit,Fast Food,Citi Forward Card
5/22/2015,Taco Bell,DEBIT CARD PURCHASE XXXXX7655 TACO BELL #003799 PEORIA IL,2.21,13.24,debit,Fast Food,Interest Checking
4/27/2015,Taco Bell,TACO BELL #004066 PEORIA IL,2.21,11.03,debit,Fast Food,Citi Forward Card
3/27/2015,Taco Bell,TACO BELL #004066 PEORIA IL,8.82,8.82,debit,Fast Food,Citi Forward Card
